2020-05-27 14:54:15,720 weasyprint   WARNING  Invalid or unsupported selector '.custom-file-input.is-valid:focus~.custom-file-label,.was-validated .custom-file-input:valid:focus~.custom-file-label', ('Unknown pseudo-class', 'valid')
2020-05-27 14:54:15,721 weasyprint   WARNING  Invalid or unsupported selector '.is-invalid~.invalid-feedback,.is-invalid~.invalid-tooltip,.was-validated :invalid~.invalid-feedback,.was-validated :invalid~.invalid-tooltip', ('Unknown pseudo-class', 'invalid')
2020-05-27 14:54:15,721 weasyprint   WARNING  Ignored `padding-right:calc(1.5em + .75rem)` at 6:31597, invalid value.
2020-05-27 14:54:15,722 weasyprint   WARNING  Ignored `background-position:right calc(.375em + .1875rem) center` at 6:31992, invalid value.
2020-05-27 14:54:15,722 weasyprint   WARNING  Ignored `background-size:calc(.75em + .375rem) calc(.75em + .375rem)` at 6:32049, invalid value.
2020-05-27 14:54:15,722 weasyprint   WARNING  Invalid or unsupported selector '.form-control.is-invalid,.was-validated .form-control:invalid', ('Unknown pseudo-class', 'invalid')
2020-05-27 14:54:15,722 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(220,53,69,.25)` at 6:32204, unknown property.
2020-05-27 14:54:15,722 weasyprint   WARNING  Invalid or unsupported selector '.form-control.is-invalid:focus,.was-validated .form-control:invalid:focus', ('Unknown pseudo-class', 'invalid')
2020-05-27 14:54:15,723 weasyprint   WARNING  Ignored `padding-right:calc(1.5em + .75rem)` at 6:32325, invalid value.
2020-05-27 14:54:15,723 weasyprint   WARNING  Ignored `background-position:top calc(.375em + .1875rem) right calc(.375em + .1875rem)` at 6:32360, invalid value.
2020-05-27 14:54:15,723 weasyprint   WARNING  Ignored `padding-right:calc(.75em + 2.3125rem)` at 6:32523, invalid value.
2020-05-27 14:54:15,723 weasyprint   WARNING  Ignored `background:url("data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' width='4' height='5' viewBox='0 0 4 5'%3e%3cpath fill='%23343a40' d='M2 0L0 2h4zm0 5L0 3h4z'/%3e%3c/svg%3e") no-repeat right .75rem center/8px 10px,url("data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' width='12' height='12' fill='none' stroke='%23dc3545' viewBox='0 0 12 12'%3e%3ccircle cx='6' cy='6' r='4.5'/%3e%3cpath stroke-linejoin='round' d='M5.8 3.6h.4L6 6.5z'/%3e%3ccircle cx='6' cy='8.2' r='.6' fill='%23dc3545' stroke='none'/%3e%3c/svg%3e") #fff no-repeat center right 1.75rem/calc(.75em + .375rem) calc(.75em + .375rem)` at 6:32561, invalid value.
2020-05-27 14:54:15,724 weasyprint   WARNING  Invalid or unsupported selector '.custom-select.is-invalid,.was-validated .custom-select:invalid', ('Unknown pseudo-class', 'invalid')
2020-05-27 14:54:15,724 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(220,53,69,.25)` at 6:33278, unknown property.
2020-05-27 14:54:15,724 weasyprint   WARNING  Invalid or unsupported selector '.custom-select.is-invalid:focus,.was-validated .custom-select:invalid:focus', ('Unknown pseudo-class', 'invalid')
2020-05-27 14:54:15,724 weasyprint   WARNING  Invalid or unsupported selector '.form-check-input.is-invalid~.form-check-label,.was-validated .form-check-input:invalid~.form-check-label', ('Unknown pseudo-class', 'invalid')
2020-05-27 14:54:15,725 weasyprint   WARNING  Invalid or unsupported selector '.form-check-input.is-invalid~.invalid-feedback,.form-check-input.is-invalid~.invalid-tooltip,.was-validated .form-check-input:invalid~.invalid-feedback,.was-validated .form-check-input:invalid~.invalid-tooltip', ('Unknown pseudo-class', 'invalid')
2020-05-27 14:54:15,725 weasyprint   WARNING  Invalid or unsupported selector '.custom-control-input.is-invalid~.custom-control-label,.was-validated .custom-control-input:invalid~.custom-control-label', ('Unknown pseudo-class', 'invalid')
2020-05-27 14:54:15,725 weasyprint   WARNING  Invalid or unsupported selector '.custom-control-input.is-invalid~.custom-control-label::before,.was-validated .custom-control-input:invalid~.custom-control-label::before', ('Unknown pseudo-class', 'invalid')
2020-05-27 14:54:15,726 weasyprint   WARNING  Invalid or unsupported selector '.custom-control-input.is-invalid:checked~.custom-control-label::before,.was-validated .custom-control-input:invalid:checked~.custom-control-label::before', ('Unknown pseudo-class', 'invalid')
2020-05-27 14:54:15,726 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(220,53,69,.25)` at 6:34310, unknown property.
2020-05-27 14:54:15,727 weasyprint   WARNING  Invalid or unsupported selector '.custom-control-input.is-invalid:focus:not(:checked)~.custom-control-label::before,.was-validated .custom-control-input:invalid:focus:not(:checked)~.custom-control-label::before', ('Unknown pseudo-class', 'invalid')
2020-05-27 14:54:15,727 weasyprint   WARNING  Invalid or unsupported selector '.custom-file-input.is-invalid~.custom-file-label,.was-validated .custom-file-input:invalid~.custom-file-label', ('Unknown pseudo-class', 'invalid')
2020-05-27 14:54:15,727 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(220,53,69,.25)` at 6:34826, unknown property.
2020-05-27 14:54:15,728 weasyprint   WARNING  Invalid or unsupported selector '.custom-file-input.is-invalid:focus~.custom-file-label,.was-validated .custom-file-input:invalid:focus~.custom-file-label', ('Unknown pseudo-class', 'invalid')
2020-05-27 14:54:15,728 weasyprint   WARNING  Ignored `display:-ms-flexbox` at 6:34882, invalid value.
2020-05-27 14:54:15,728 weasyprint   WARNING  Expected a media type, got (min-width:576px)
2020-05-27 14:54:15,728 weasyprint   WARNING  Invalid media type " (min-width:576px)" the whole @media rule was ignored at 6:35034.
2020-05-27 14:54:15,729 weasyprint   WARNING  Ignored `user-select:none` at 6:36249, unknown property.
2020-05-27 14:54:15,729 weasyprint   WARNING  Expected a media type, got (prefers-reduced-motion:reduce)
2020-05-27 14:54:15,729 weasyprint   WARNING  Invalid media type " (prefers-reduced-motion:reduce)" the whole @media rule was ignored at 6:36525.
2020-05-27 14:54:15,729 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(0,123,255,.25)` at 6:36664, unknown property.
2020-05-27 14:54:15,730 weasyprint   WARNING  Ignored `pointer-events:none` at 6:36786, unknown property.
2020-05-27 14:54:15,730 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(38,143,255,.5)` at 6:37047, unknown property.
2020-05-27 14:54:15,732 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(38,143,255,.5)` at 6:37536, unknown property.
2020-05-27 14:54:15,732 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(130,138,145,.5)` at 6:37828, unknown property.
2020-05-27 14:54:15,733 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(130,138,145,.5)` at 6:38334, unknown property.
2020-05-27 14:54:15,734 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(72,180,97,.5)` at 6:38619, unknown property.
2020-05-27 14:54:15,735 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(72,180,97,.5)` at 6:39107, unknown property.
2020-05-27 14:54:15,735 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(58,176,195,.5)` at 6:39378, unknown property.
2020-05-27 14:54:15,737 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(58,176,195,.5)` at 6:39843, unknown property.
2020-05-27 14:54:15,737 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(222,170,12,.5)` at 6:40136, unknown property.
2020-05-27 14:54:15,739 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(222,170,12,.5)` at 6:40631, unknown property.
2020-05-27 14:54:15,740 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(225,83,97,.5)` at 6:40911, unknown property.
2020-05-27 14:54:15,741 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(225,83,97,.5)` at 6:41391, unknown property.
2020-05-27 14:54:15,742 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(216,217,219,.5)` at 6:41675, unknown property.
2020-05-27 14:54:15,744 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(216,217,219,.5)` at 6:42155, unknown property.
2020-05-27 14:54:15,744 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(82,88,93,.5)` at 6:42428, unknown property.
2020-05-27 14:54:15,745 weasyprint   WARNING  Ignored `box-shadow:0 0 0 .2rem rgba(82,88,93,.5)` at 6:42891, unknown property.
